id,condition,response,response_clean,item,item_clean,SemDis_glove_c_m
15,creative,ties to bottoms of feet as high shoes,ties to bottoms of feet as high shoes,brick,brick,0.82438
15,creative,meat pounder,meat pounder,brick,brick,0.93097
15,creative,mashed potato smasher,mashed potato smasher,brick,brick,0.96339
15,creative,table,table,brick,brick,0.85037
15,creative,statue,statue,brick,brick,0.72973
15,creative,gravestone,gravestone,brick,brick,0.77156
15,creative,back scratcher,back scratcher,brick,brick,1.0006
15,creative,anchor,anchor,brick,brick,0.86311
16,creative,build a house,build a house,brick,brick,0.80052
16,creative,break a chain,break a chain,brick,brick,0.81431
16,creative,balance a table or chair,balance a table or chair,brick,brick,0.84903
16,creative,hold open a window,hold open a window,brick,brick,1.1857199999999999
16,creative,To hold something down,to hold something down,brick,brick,1.16747
16,creative,lift for exercise,lift for exercise,brick,brick,0.81202
16,creative,break a window,break a window,brick,brick,0.8009
16,creative,build a wall or boundary,build a wall or boundary,brick,brick,0.82396
16,creative,to teach someone the rectangle shape,to teach someone the rectangle shape,brick,brick,0.80506
16,creative,to smash things,to smash things,brick,brick,0.7934
16,creative,make a sidewalk,make a sidewalk,brick,brick,0.80293
17,creative,build a house,build a house,brick,brick,0.80052
17,creative,hit someone with,hit someone with,brick,brick,0.81105
17,creative,use it to brake something,use it to brake something,brick,brick,0.84575
17,creative,use it as heat absorption,use it as heat absorption,brick,brick,0.86429
17,creative,use it to elevate things,use it to elevate things,brick,brick,1.02649
17,creative,kick a into a soccer goal,kick a into a soccer goal,brick,brick,1.18559
17,creative,carve something into the,carve something into the,brick,brick,1.11884
17,creative,use a as a lever,use a as a lever,brick,brick,0.96637
17,creative,balance a on your head,balance a on your head,brick,brick,0.85866
17,creative,color a,color a,brick,brick,1.13744
17,creative,crush a,crush a,brick,brick,1.14906
17,creative,smell a,smell a,brick,brick,1.15322
17,creative,use a as a tool to crush something,use a as a tool to crush something,brick,brick,1.19244
17,creative,stacks,stacks,brick,brick,0.72671
17,creative,color coordinates,color coordinates,brick,brick,1.05922
17,creative,reshape a with power tools,reshape a with power tools,brick,brick,1.17053
17,creative,make a out of clay,make a out of clay,brick,brick,0.8034399999999999
17,creative,make a bridge out of,make a bridge out of,brick,brick,0.80576
17,creative,taste a,taste a,brick,brick,1.13473
17,creative,put a in a cannon and shoot something with it,put a in a cannon and shoot something with it,brick,brick,1.19257
17,creative,send a to the moon,send a to the moon,brick,brick,0.8057
17,creative,use a to sit on,use a to sit on,brick,brick,0.8072900000000001
17,creative,balance a on your head,balance a on your head,brick,brick,0.85866
17,creative,freeze a,freeze a,brick,brick,1.12622
17,creative,store a somewhere safe,store a somewhere safe,brick,brick,1.18844
17,creative,burn a,burn a,brick,brick,1.10949
17,creative,push a,push a,brick,brick,1.16606
17,creative,cut something with a,cut something with a,brick,brick,1.17525
17,creative,watch a dry,watch a dry,brick,brick,0.83346
17,creative,use a to way down something,use a to way down something,brick,brick,1.18757
17,creative,use a to hunt with,use a to hunt with,brick,brick,0.80749
17,creative,way down something with,way down something with,brick,brick,1.15018
17,creative,use a for self defense,use a for self defense,brick,brick,0.82395
17,creative,paint a gold and sell it,paint a gold and sell it,brick,brick,1.18655
17,creative,use a to break another,use a to break another,brick,brick,0.8072
18,creative,Anchor for small boat,anchor for small boat,brick,brick,1.08259
18,creative,Short stepping stool,short stepping stool,brick,brick,0.83401
18,creative,Canvas on which to paint,canvas on which to paint,brick,brick,0.8118
18,creative,Weight,weight,brick,brick,0.92389
18,creative,A shovel,a shovel,brick,brick,1.05742
18,creative,knife sharpener,knife sharpener,brick,brick,0.99323
18,creative,door stopper,door stopper,brick,brick,0.96106
19,creative,use as a pet,use as a pet,brick,brick,1.1887699999999999
19,creative,as a door stop,as a door stop,brick,brick,1.18859
19,creative,hold up things withlike for a shelf,hold up things withlike for a shelf,brick,brick,1.1813
19,creative,use as art,use as art,brick,brick,0.81591
19,creative,decorate to show off,decorate to show off,brick,brick,1.19641
19,creative,rest something on top of the,rest something on top of the,brick,brick,1.18669
19,creative,as a paper weight,as a paper weight,brick,brick,1.14598
19,creative,lift as a weight,lift as a weight,brick,brick,1.17205
19,creative,use to push something down,use to push something down,brick,brick,0.82027
19,creative,use as a substitute for a missing piece in outside stairs/walk way,use as a substitute for a missing piece in outside stairswalk way,brick,brick,0.80813
19,creative,use it to hide a key outside your house,use it to hide a key outside your house,brick,brick,0.80697
19,creative,to hold down a planter,to hold down a planter,brick,brick,1.1036299999999999
19,creative,to prop up against something to keep it closed,to prop up against something to keep it closed,brick,brick,1.04258
19,creative,decorate and put in a garden as art,decorate and put in a garden as art,brick,brick,1.19198
19,creative,in the pool you can use it as a weight to push at the bottom of the pool to help built up your upper body muscles for swimming,in the pool you can use it as a weight to push at the bottom of the pool to help built up your upper body muscles for swimming,brick,brick,1.1917
20,creative,build a house,build a house,brick,brick,0.80052
20,creative,put behind a tire to keep a car from rolling down a hill,put behind a tire to keep a car from rolling down a hill,brick,brick,0.80808
20,creative,use as a weapon,use as a weapon,brick,brick,1.18746
20,creative,use as a weight,use as a weight,brick,brick,1.1737
20,creative,to line the edges of a flower bed or a vegetable garden,to line the edges of a flower bed or a vegetable garden,brick,brick,1.19186
20,creative,make a patio,make a patio,brick,brick,0.7864800000000001
20,creative,use around a firepit,use around a firepit,brick,brick,0.81469
20,creative,if they are different colored you can make a pattern out of them,if they are different colored you can make a pattern out of them,brick,brick,0.8074399999999999
20,creative,use them as feet to hold up a table or chair higher,use them as feet to hold up a table or chair higher,brick,brick,1.1930399999999999
20,creative,to heat something up because they get hot in the summer and can keep things warm,to heat something up because they get hot in the summer and can keep things warm,brick,brick,1.19176
20,creative,make a fort by building walls and a floor out of,make a fort by building walls and a floor out of,brick,brick,0.8083
20,creative,you can grow moss on them by pouring buttermilk on them,you can grow moss on them by pouring buttermilk on them,brick,brick,1.19208
20,creative,I think if you strike a rock against one it will spark to make a fire I'm not sure if that is possible though,i think if you strike a rock against one it will spark to make a fire im not sure if that is possible though,brick,brick,0.80871
20,creative,you can paint them and make artwork out of them,you can paint them and make artwork out of them,brick,brick,1.19271
20,creative,it can serve as shelter or a home to some worms or other critters,it can serve as shelter or a home to some worms or other critters,brick,brick,1.19042
20,creative,you can use it as a tool like a hammer,you can use it as a tool like a hammer,brick,brick,1.19288
20,creative,you could write with them because they leave red marks when scratched across a surface,you could write with them because they leave red marks when scratched across a surface,brick,brick,0.81024
21,creative,Door stopper,door stopper,brick,brick,0.96106
21,creative,iron,iron,brick,brick,0.631
21,creative,pancake flattener,pancake flattener,brick,brick,0.83934
21,creative,bed/table riser,bedtable riser,brick,brick,0.98475
21,creative,can be used as decorations in a house,can be used as decorations in a house,brick,brick,1.19305
21,creative,nail filer,nail filer,brick,brick,0.95624
21,creative,outdoor fort,outdoor fort,brick,brick,1.10527
21,creative,fence,fence,brick,brick,0.67628
22,creative,Dam,dam,brick,brick,0.79235
22,creative,Barrier,barrier,brick,brick,0.8544499999999999
22,creative,Irrigation,irrigation,brick,brick,0.9019699999999999
22,creative,Shelter,shelter,brick,brick,0.73001
22,creative,Roads,roads,brick,brick,0.72677
22,creative,Shoes,shoes,brick,brick,0.82479
22,creative,Art,art,brick,brick,0.83409
22,creative,sculptures,sculptures,brick,brick,0.69773
22,creative,Flint,flint,brick,brick,0.70791
22,creative,Underground safe area or shelter,underground safe area or shelter,brick,brick,0.80716
22,creative,A heavy  indestructible vehicle,a heavy indestructible vehicle,brick,brick,0.80351
22,creative,Projectile in some shape or form,projectile in some shape or form,brick,brick,1.18659
22,creative,A standard measurement,a standard measurement,brick,brick,0.84571
22,creative,Jewelry,jewelry,brick,brick,0.83909
22,creative,Use to fool someone,use to fool someone,brick,brick,1.18996
22,creative,A birthday present,a birthday present,brick,brick,0.79182
23,creative,Projectile,projectile,brick,brick,0.95015
23,creative,Paperweight,paperweight,brick,brick,0.88425
23,creative,Heavier Bookbags,heavier bookbags,brick,brick,0.91187
23,creative,Oldowan style tools,oldowan style tools,brick,brick,1.17499
23,creative,Shoe filling,shoe filling,brick,brick,0.95866
23,creative,pie,pie,brick,brick,0.83385
23,creative,Soup,soup,brick,brick,0.8356
23,creative,as a blunt object,as a blunt object,brick,brick,1.16694
23,creative,You know can be painted and star in television shows,you know can be painted and star in television shows,brick,brick,1.1917
23,creative,can help your clothes fit better,can help your clothes fit better,brick,brick,1.15265
23,creative,Less than efficient flyswatter,less than efficient flyswatter,brick,brick,0.8849
23,creative,Brickball play baseball with the instead of a bat,brickball play baseball with the instead of a bat,brick,brick,1.19065
23,creative,in the back part of your toilet help conserve water,in the back part of your toilet help conserve water,brick,brick,1.19252
23,creative,Brickly your new best friend,brickly your new best friend,brick,brick,1.14036
23,creative,make awesome hats,make awesome hats,brick,brick,0.80555
23,creative,If you grind the up you could make an awesome Sauce,if you grind the up you could make an awesome sauce,brick,brick,0.80786
23,creative,Wear the on a necklace  start a trend,wear the on a necklace start a trend,brick,brick,1.18605
23,creative,Polish the  sell for profit,polish the sell for profit,brick,brick,0.89683
23,creative,Market the Pet  SOMEONE will buy it,market the pet someone will buy it,brick,brick,0.81719
23,creative,Air guitar fret board,air guitar fret board,brick,brick,0.83897
23,creative,Use as loofah  exfoliate like a BOSS,use as loofah exfoliate like a boss,brick,brick,0.80901
23,creative,Leave on gas pedal  cruise control no longer broken,leave on gas pedal cruise control no longer broken,brick,brick,0.80709
23,creative,Tie to your left foot  run in uncontrollable circles,tie to your left foot run in uncontrollable circles,brick,brick,1.19988
23,creative,Scratchnsniff   smells likes,scratchnsniff smells likes,brick,brick,1.04813
23,creative,Multiple  makeshift chair,multiple makeshift chair,brick,brick,0.81117
24,creative,buildings,buildings,brick,brick,0.42432000000000003
24,creative,house,house,brick,brick,0.63317
24,creative,sidewalk,sidewalk,brick,brick,0.64873
24,creative,weapon,weapon,brick,brick,0.9628099999999999
24,creative,fire stone,fire stone,brick,brick,1.08467
24,creative,toy,toy,brick,brick,0.89408
24,creative,shoes,shoes,brick,brick,0.82479
24,creative,resource,resource,brick,brick,0.99951
24,creative,minerals,minerals,brick,brick,0.94399
24,creative,rocks,rocks,brick,brick,0.7181
24,creative,stepping stone,stepping stone,brick,brick,1.0949200000000001
24,creative,garden,garden,brick,brick,0.65213
24,creative,walls,walls,brick,brick,0.37241
24,creative,forts,forts,brick,brick,0.73224
24,creative,roof,roof,brick,brick,0.4525
24,creative,ammo,ammo,brick,brick,1.0147
24,creative,back scrubber,back scrubber,brick,brick,0.92123
24,creative,sculpture,sculpture,brick,brick,0.70419
24,creative,statue,statue,brick,brick,0.72973
24,creative,foot rest,foot rest,brick,brick,1.10848
24,creative,seat,seat,brick,brick,0.92269
24,creative,a hammer,a hammer,brick,brick,1.13809
24,creative,knife sharpener,knife sharpener,brick,brick,0.99323
24,creative,making fire,making fire,brick,brick,1.15506
24,creative,killing birds,killing birds,brick,brick,1.14057
24,creative,smashing nuts,smashing nuts,brick,brick,1.03938
24,creative,floors,floors,brick,brick,0.52746
24,creative,carve stone,carve stone,brick,brick,1.0738
24,creative,make a castle,make a castle,brick,brick,0.78584
24,creative,use in war,use in war,brick,brick,0.8183199999999999
25,creative,building a wall,building a wall,brick,brick,0.80679
25,creative,building a house,building a house,brick,brick,0.79695
25,creative,building a dog house,building a dog house,brick,brick,1.1886700000000001
25,creative,breaking things using the,breaking things using the,brick,brick,1.17439
25,creative,building a table,building a table,brick,brick,0.8008
25,creative,paperweight,paperweight,brick,brick,0.88425
25,creative,building a fort,building a fort,brick,brick,0.80959
25,creative,making a structure art,making a structure art,brick,brick,1.1685699999999999
25,creative,used to build a chair,used to build a chair,brick,brick,0.81195
25,creative,used for an oven,used for an oven,brick,brick,1.18784
26,creative,self defense,self defense,brick,brick,1.08483
26,creative,cooking,cooking,brick,brick,0.83736
26,creative,a toy,a toy,brick,brick,1.13379
26,creative,a file,a file,brick,brick,1.19287
26,creative,trade,trade,brick,brick,0.95548
26,creative,a weapon,a weapon,brick,brick,1.17535
26,creative,exercise,exercise,brick,brick,1.05135
26,creative,entertainment,entertainment,brick,brick,0.94058
26,creative,drawing,drawing,brick,brick,0.8748
26,creative,sculpting,sculpting,brick,brick,0.90311
26,creative,circus acts,circus acts,brick,brick,1.0532
26,creative,hunting,hunting,brick,brick,0.9632000000000001
26,creative,playing games,playing games,brick,brick,1.07487
26,creative,a pet,a pet,brick,brick,1.14861
26,creative,a practical joke,a practical joke,brick,brick,0.82613
27,creative,paperweight,paperweight,brick,brick,0.88425
27,creative,pencil holder,pencil holder,brick,brick,0.9639
27,creative,wheel chalk,wheel chalk,brick,brick,1.0129
27,creative,locksmith,locksmith,brick,brick,0.9628099999999999
27,creative,step stool,step stool,brick,brick,1.09588
27,creative,fighting utensil,fighting utensil,brick,brick,1.10561
27,creative,dumbbell to work out with,dumbbell to work out with,brick,brick,1.1541
27,creative,kill things,kill things,brick,brick,1.13876
27,creative,a book wedge to hold books up on a shelf,a book wedge to hold books up on a shelf,brick,brick,1.08746
27,creative,potholder on carpet,potholder on carpet,brick,brick,1.18483
27,creative,chair,chair,brick,brick,0.89471
27,creative,toss the game like toss the balloon,toss the game like toss the balloon,brick,brick,0.80449
27,creative,ruler,ruler,brick,brick,0.99117
27,creative,straight edge,straight edge,brick,brick,0.98825
27,creative,pen,pen,brick,brick,0.97057
27,creative,vase for flowers,vase for flowers,brick,brick,1.03062
27,creative,baseball,baseball,brick,brick,0.8992
27,creative,door prop,door prop,brick,brick,0.98978
27,creative,towel weight at the beach,towel weight at the beach,brick,brick,0.81277
27,creative,hold down a tarp on a car,hold down a tarp on a car,brick,brick,0.81286
27,creative,hammer,hammer,brick,brick,0.8950400000000001
27,creative,break a window if you lock your keys in your house,break a window if you lock your keys in your house,brick,brick,0.8078799999999999
27,creative,photo prop,photo prop,brick,brick,1.06658
28,creative,Jewelry holder,jewelry holder,brick,brick,1.12478
28,creative,Book shelf divider,book shelf divider,brick,brick,1.02265
28,creative,puzzle pieces,puzzle pieces,brick,brick,1.13031
28,creative,the holes in the could hold nail polishes,the holes in the could hold nail polishes,brick,brick,0.80753
28,creative,the holes in the could hold pencils and pens,the holes in the could hold pencils and pens,brick,brick,1.18505
28,creative,teaching children how to write using chalk on the,teaching children how to write using chalk on the,brick,brick,0.80906
28,creative,can hold up food during picnics,can hold up food during picnics,brick,brick,1.1749100000000001
28,creative,door stop,door stop,brick,brick,1.15782
28,creative,weights,weights,brick,brick,0.94115
28,creative,coaster for drinks,coaster for drinks,brick,brick,0.85222
