...1,id,condition,response,response_clean,item,item_clean,SemDis_GloVe_c_m
114,115,creative,5 Use it as a makeshift hammer for small DIY projects,use it as a makeshift hammer for small diy projects,brick,brick,0.80828
115,116,creative,6 Turn it into a unique and rustic photo frame,turn it into a unique and rustic photo frame,brick,brick,0.81401
116,117,creative,7 Use it as a base for a DIY outdoor fire pit,use it as a base for a diy outdoor fire pit,brick,brick,1.19173
117,118,creative,8 Create a unique and industriallooking bookshelf by stacking bricks and wooden planks,create a unique and industriallooking bookshelf by stacking bricks and wooden planks,brick,brick,0.81136
118,119,creative,9 Use it as a prop for a theatrical production or photo shoot,use it as a prop for a theatrical production or photo shoot,brick,brick,0.8079000000000001
119,120,creative,10 Turn it into a unique and functional birdhouse,turn it into a unique and functional birdhouse,brick,brick,0.86978
120,121,creative,1 Use it as a doorstop or bookend,use it as a doorstop or bookend,brick,brick,0.80965
121,122,creative,2 Create a unique garden border by stacking bricks vertically,create a unique garden border by stacking bricks vertically,brick,brick,0.80794
122,123,creative,3 Use it as a weight for a homemade workout routine,use it as a weight for a homemade workout routine,brick,brick,1.19183
123,124,creative,4 Build a small outdoor fireplace or grill,build a small outdoor fireplace or grill,brick,brick,0.80835
124,125,creative,5 Use it as a base for a table or bench,use it as a base for a table or bench,brick,brick,1.19143
125,126,creative,6 Create a DIY birdhouse by stacking bricks and leaving openings for birds to nest,create a diy birdhouse by stacking bricks and leaving openings for birds to nest,brick,brick,1.19154
126,127,creative,7 Use it as a paperweight on a desk,use it as a paperweight on a desk,brick,brick,0.80682
127,128,creative,8 Build a small retaining wall to prevent erosion in a garden,build a small retaining wall to prevent erosion in a garden,brick,brick,0.80768
128,129,creative,9 Use it as a makeshift hammer for small DIY projects,use it as a makeshift hammer for small diy projects,brick,brick,0.80828
129,130,creative,10 Create a unique piece of art by painting or carving designs into the brick,create a unique piece of art by painting or carving designs into the brick,brick,brick,1.19202
130,131,creative,1 Use it as a doorstop or paperweight,use it as a doorstop or paperweight,brick,brick,0.8089
131,132,creative,2 Turn it into a bookend for your bookshelf,turn it into a bookend for your bookshelf,brick,brick,1.16402
132,133,creative,3 Use it as a weight for your workout routine,use it as a weight for your workout routine,brick,brick,0.80737
133,134,creative,4 Create a unique garden border by stacking bricks,create a unique garden border by stacking bricks,brick,brick,1.1917200000000001
134,135,creative,5 Use it as a base for a DIY outdoor fire pit,use it as a base for a diy outdoor fire pit,brick,brick,1.19173
135,136,creative,6 Turn it into a decorative piece by painting or carving designs into it,turn it into a decorative piece by painting or carving designs into it,brick,brick,0.80696
136,137,creative,7 Use it as a makeshift hammer for small DIY projects,use it as a makeshift hammer for small diy projects,brick,brick,0.80828
137,138,creative,8 Use it as a prop for a photoshoot or film set,use it as a prop for a photoshoot or film set,brick,brick,0.8399300000000001
138,139,creative,9 Create a unique piece of furniture by stacking and gluing bricks together,create a unique piece of furniture by stacking and gluing bricks together,brick,brick,0.80755
139,140,creative,10 Use it as a mold for making homemade soap or candles,use it as a mold for making homemade soap or candles,brick,brick,0.80829
140,141,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
141,142,creative,2 Create a unique garden border by stacking bricks in a decorative pattern,create a unique garden border by stacking bricks in a decorative pattern,brick,brick,1.19181
142,143,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,1.19165
143,144,creative,4 Use a brick as a makeshift hammer in a pinch,use a brick as a makeshift hammer in a pinch,brick,brick,1.19166
144,145,creative,5 Build a small fire pit or barbecue using bricks,build a small fire pit or barbecue using bricks,brick,brick,0.80828
145,146,creative,6 Use bricks to create a unique and sturdy base for a coffee table or other piece of furniture,use bricks to create a unique and sturdy base for a coffee table or other piece of furniture,brick,brick,0.80845
146,147,creative,7 Use bricks as a base for a DIY birdhouse or feeder,use bricks as a base for a diy birdhouse or feeder,brick,brick,1.19187
147,148,creative,8 Create a unique and rustic wall decoration by arranging bricks in a pattern and hanging them on the wall,create a unique and rustic wall decoration by arranging bricks in a pattern and hanging them on the wall,brick,brick,0.80847
148,149,creative,9 Use bricks to create a unique and sturdy base for a mailbox,use bricks to create a unique and sturdy base for a mailbox,brick,brick,0.80811
149,150,creative,10 Use bricks to create a unique and sturdy base for a garden statue or other outdoor decoration,use bricks to create a unique and sturdy base for a garden statue or other outdoor decoration,brick,brick,1.19167
150,151,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
151,152,creative,2 Build a small garden wall or border with bricks,build a small garden wall or border with bricks,brick,brick,0.80831
152,153,creative,3 Use a brick as a weight for exercise,use a brick as a weight for exercise,brick,brick,1.19224
153,154,creative,4 Create a unique piece of art by painting or carving a design into a brick,create a unique piece of art by painting or carving a design into a brick,brick,brick,0.80813
154,155,creative,5 Use a brick as a makeshift hammer or tool for DIY projects,use a brick as a makeshift hammer or tool for diy projects,brick,brick,0.80832
155,156,creative,6 Build a fire pit or barbecue grill with bricks,build a fire pit or barbecue grill with bricks,brick,brick,0.80833
156,157,creative,7 Use bricks as weights to hold down outdoor furniture during windy weather,use bricks as weights to hold down outdoor furniture during windy weather,brick,brick,0.80833
157,158,creative,8 Create a unique outdoor seating area by stacking bricks and adding cushions,create a unique outdoor seating area by stacking bricks and adding cushions,brick,brick,0.8086
158,159,creative,9 Use bricks to create a unique pathway or stepping stones in a garden,use bricks to create a unique pathway or stepping stones in a garden,brick,brick,0.80833
159,160,creative,10 Build a birdhouse or bird bath with bricks,build a birdhouse or bird bath with bricks,brick,brick,0.80829
160,161,creative,1 Use it as a doorstop or paperweight,use it as a doorstop or paperweight,brick,brick,0.8089
161,162,creative,2 Turn it into a bookend by painting or decorating it,turn it into a bookend by painting or decorating it,brick,brick,0.81804
162,163,creative,3 Use it as a weight for outdoor furniture during windy weather,use it as a weight for outdoor furniture during windy weather,brick,brick,1.19158
163,164,creative,4 Create a unique garden border by stacking bricks vertically,create a unique garden border by stacking bricks vertically,brick,brick,0.80794
164,165,creative,5 Use it as a base for a DIY fire pit in your backyard,use it as a base for a diy fire pit in your backyard,brick,brick,1.19162
165,166,creative,6 Turn it into a unique planter by drilling holes and adding soil and plants,turn it into a unique planter by drilling holes and adding soil and plants,brick,brick,0.8494200000000001
166,167,creative,7 Use it as a weight for a homemade workout routine,use it as a weight for a homemade workout routine,brick,brick,1.19183
167,168,creative,8 Create a rustic and industriallooking shelf by stacking bricks and placing a wooden board on top,create a rustic and industriallooking shelf by stacking bricks and placing a wooden board on top,brick,brick,0.80936
168,169,creative,9 Use it as a makeshift hammer for small DIY projects,use it as a makeshift hammer for small diy projects,brick,brick,0.80828
169,170,creative,10 Turn it into a unique and functional doorstop by attaching a handle or knob to it,turn it into a unique and functional doorstop by attaching a handle or knob to it,brick,brick,1.19046
170,171,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
171,172,creative,2 Create a unique garden border by stacking bricks in a pattern,create a unique garden border by stacking bricks in a pattern,brick,brick,0.808
172,173,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,1.19165
173,174,creative,4 Build a brick fire pit in your backyard for outdoor gatherings,build a brick fire pit in your backyard for outdoor gatherings,brick,brick,0.80833
174,175,creative,5 Use bricks as a base for a DIY coffee table or bench,use bricks as a base for a diy coffee table or bench,brick,brick,0.80832
175,176,creative,6 Create a brick pathway in your garden or backyard,create a brick pathway in your garden or backyard,brick,brick,0.8083
176,177,creative,7 Use bricks to create a unique and rustic accent wall in your home,use bricks to create a unique and rustic accent wall in your home,brick,brick,1.19269
177,178,creative,8 Build a brick mailbox that stands out from the rest,build a brick mailbox that stands out from the rest,brick,brick,1.19171
178,179,creative,9 Use bricks to create a DIY pizza oven in your backyard,use bricks to create a diy pizza oven in your backyard,brick,brick,1.19167
179,180,creative,10 Create a unique and industriallooking bookshelf by stacking bricks and wooden planks,create a unique and industriallooking bookshelf by stacking bricks and wooden planks,brick,brick,0.81136
180,181,creative,1 Use it as a doorstop,use it as a doorstop,brick,brick,1.19056
181,182,creative,2 Paint it and use it as a bookend,paint it and use it as a bookend,brick,brick,0.82254
182,183,creative,3 Build a small garden wall or border,build a small garden wall or border,brick,brick,0.80787
183,184,creative,4 Use it as a weight for a homemade workout routine,use it as a weight for a homemade workout routine,brick,brick,1.19183
184,185,creative,5 Create a unique paperweight for your desk,create a unique paperweight for your desk,brick,brick,1.19564
185,186,creative,6 Use it as a base for a DIY outdoor fire pit,use it as a base for a diy outdoor fire pit,brick,brick,1.19173
186,187,creative,7 Turn it into a decorative piece by carving or etching designs into it,turn it into a decorative piece by carving or etching designs into it,brick,brick,1.18961
187,188,creative,8 Use it as a makeshift hammer for small DIY projects,use it as a makeshift hammer for small diy projects,brick,brick,0.80828
188,189,creative,9 Create a unique and rustic door handle,create a unique and rustic door handle,brick,brick,0.8274
189,190,creative,10 Use it as a prop for a photo shoot or movie set,use it as a prop for a photo shoot or movie set,brick,brick,0.80963
190,191,creative,1 Use it as a doorstop or paperweight,use it as a doorstop or paperweight,brick,brick,0.8089
191,192,creative,2 Build a small garden bed or raised planter,build a small garden bed or raised planter,brick,brick,0.80771
192,193,creative,3 Create a unique bookend by stacking bricks and gluing them together,create a unique bookend by stacking bricks and gluing them together,brick,brick,0.80714
193,194,creative,4 Use it as a weight for exercise or as a prop for yoga poses,use it as a weight for exercise or as a prop for yoga poses,brick,brick,0.89341
194,195,creative,5 Turn it into a rustic candle holder by drilling a hole in the top,turn it into a rustic candle holder by drilling a hole in the top,brick,brick,1.19259
195,196,creative,6 Use it as a base for a table or bench,use it as a base for a table or bench,brick,brick,1.19143
196,197,creative,7 Create a DIY fire pit by stacking bricks in a circle,create a diy fire pit by stacking bricks in a circle,brick,brick,1.19178
197,198,creative,8 Use it as a makeshift step stool or platform,use it as a makeshift step stool or platform,brick,brick,0.80827
198,199,creative,9 Turn it into a decorative piece by painting or adding mosaic tiles,turn it into a decorative piece by painting or adding mosaic tiles,brick,brick,1.19239
199,200,creative,10 Use it as a weight to hold down a tarp or tent while camping,use it as a weight to hold down a tarp or tent while camping,brick,brick,1.19175
200,201,creative,1 Use it as a doorstop or paperweight,use it as a doorstop or paperweight,brick,brick,0.8089
201,202,creative,2 Build a small garden wall or border,build a small garden wall or border,brick,brick,0.80787
202,203,creative,3 Use it as a weight for a workout,use it as a weight for a workout,brick,brick,1.19271
203,204,creative,4 Create a unique bookend by stacking bricks,create a unique bookend by stacking bricks,brick,brick,1.1828
204,205,creative,5 Use it as a base for a DIY outdoor fire pit,use it as a base for a diy outdoor fire pit,brick,brick,1.19173
205,206,creative,6 Use it as a makeshift hammer for small DIY projects,use it as a makeshift hammer for small diy projects,brick,brick,0.80828
206,207,creative,7 Create a unique and rustic bookshelf by stacking bricks and wooden planks,create a unique and rustic bookshelf by stacking bricks and wooden planks,brick,brick,1.19554
207,208,creative,8 Use it as a prop for a photoshoot or film set,use it as a prop for a photoshoot or film set,brick,brick,0.8399300000000001
208,209,creative,9 Create a unique and functional outdoor seating area by stacking bricks and adding cushions,create a unique and functional outdoor seating area by stacking bricks and adding cushions,brick,brick,0.80874
209,210,creative,10 Use it as a unique and rustic centerpiece for a table setting,use it as a unique and rustic centerpiece for a table setting,brick,brick,1.1917200000000001
210,211,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
211,212,creative,2 Create a unique garden border by stacking bricks in a decorative pattern,create a unique garden border by stacking bricks in a decorative pattern,brick,brick,1.19181
212,213,creative,3 Use a brick as a weight for outdoor games like cornhole or horseshoes,use a brick as a weight for outdoor games like cornhole or horseshoes,brick,brick,1.19164
213,214,creative,4 Build a small outdoor fireplace or fire pit with bricks,build a small outdoor fireplace or fire pit with bricks,brick,brick,1.19167
214,215,creative,5 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,1.19165
215,216,creative,6 Create a rustic and industriallooking shelf by stacking bricks and placing a wooden board on top,create a rustic and industriallooking shelf by stacking bricks and placing a wooden board on top,brick,brick,0.80936
216,217,creative,7 Use a brick as a makeshift hammer in a pinch,use a brick as a makeshift hammer in a pinch,brick,brick,1.19166
217,218,creative,8 Use bricks to create a unique and sturdy base for a table or bench,use bricks to create a unique and sturdy base for a table or bench,brick,brick,0.80828
218,219,creative,9 Create a DIY birdhouse by stacking bricks and leaving openings for birds to nest,create a diy birdhouse by stacking bricks and leaving openings for birds to nest,brick,brick,1.19154
219,220,creative,10 Use bricks to create a unique and eyecatching backdrop for photography or events,use bricks to create a unique and eyecatching backdrop for photography or events,brick,brick,1.19191
220,221,creative,1 Use a brick as a doorstop or bookend,use a brick as a doorstop or bookend,brick,brick,1.19161
221,222,creative,2 Create a unique garden border by stacking bricks,create a unique garden border by stacking bricks,brick,brick,1.1917200000000001
222,223,creative,3 Use bricks as weights for a DIY workout routine,use bricks as weights for a diy workout routine,brick,brick,1.19165
223,224,creative,4 Build a small fire pit or barbecue grill with bricks,build a small fire pit or barbecue grill with bricks,brick,brick,1.19167
224,225,creative,5 Use bricks as a base for a table or bench,use bricks as a base for a table or bench,brick,brick,1.19165
225,226,creative,6 Create a unique piece of wall art by painting bricks and arranging them in a pattern,create a unique piece of wall art by painting bricks and arranging them in a pattern,brick,brick,1.19177
226,227,creative,7 Use bricks as a makeshift step stool or platform,use bricks as a makeshift step stool or platform,brick,brick,0.80832
227,228,creative,8 Build a birdhouse or bird bath with bricks,build a birdhouse or bird bath with bricks,brick,brick,0.80829
228,229,creative,9 Use bricks to create a unique pathway in your yard or garden,use bricks to create a unique pathway in your yard or garden,brick,brick,1.19169
